sku_id,location_name,at site,,at transit,at wh,sales_30_days,sales_60_days,sales_90_days,sku name,catalog_price,brands,category,assortment_group,markets,seasons,styles,size,department_name,department_external_id,product_name
P00130-03196A-201-64,Store #13,0,,0,0,0,31,31,PLAYERA BÁSICA INFANTIL - SF CARNAVAL CH 25 A 201-AZUL M,209,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,PRIMAVERA 2025,MANGA CORTA,M,Linea,2,PLAYERA BÁSICA INFANTIL - SF CARNAVAL CH 25 A 201-AZUL
P00130-02950A-173-65,Store #27,0,,0,0,0,0,0,PLAYERA BÁSICA INFANTIL - SF VALLARTAZO 24 A 173-NEGRO S,209,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,VERANO 2024,MANGA CORTA,S,Linea,2,PLAYERA BÁSICA INFANTIL - SF VALLARTAZO 24 A 173-NEGRO
P73278-03390A-014-12,Store #17,0,,0,0,0,0,0,PLAYERA NIÑO ALGODÓN - SF SER POPULAR A 014-AZUL 12,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,VERANO 2025,MANGA CORTA,12,Linea,2,PLAYERA NIÑO ALGODÓN - SF SER POPULAR A 014-AZUL
P73278-18501A-383-06,Store #11,0,,0,0,0,0,0,PLAYERA NIÑO ALGODÓN - SF LETROTAS MZT OUT A 383-BEIGE 6,159,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,INVIERNO 2023,MANGA CORTA,6,Linea,2,PLAYERA NIÑO ALGODÓN - SF LETROTAS MZT OUT A 383-BEIGE
P00130-01586A-211-64,Store #23,0,,0,0,0,0,0,PLAYERA BÁSICA INFANTIL - SF BREAK TIME 22 CH A 211-ROJO M,239,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,PRIMAVERA 2022,MANGA CORTA,M,Linea,2,PLAYERA BÁSICA INFANTIL - SF BREAK TIME 22 CH A 211-ROJO
P00474-02118A-173-10,Store #5,0,,0,0,0,0,0,PLAY ÑO CINTA - SF TIPO CINTILLO A 173-NEGRO 10,329,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,VERANO 2023,MANGA CORTA,10,Moda,1,PLAY ÑO CINTA - SF TIPO CINTILLO A 173-NEGRO
P73278-02800A-017-08,Store #4,0,,0,0,0,0,0,PLAYERA NIÑO ALGODÓN - SF RANA GAMER FL A 017-AZUL 8,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,PRIMAVERA 2024,MANGA CORTA,8,Linea,2,PLAYERA NIÑO ALGODÓN - SF RANA GAMER FL A 017-AZUL
P20416-03016A-023-10,Store #11,2,,0,22,0,0,0,PLAYERA NIÑO 2 TONOS - SF CRAYOLA SKETCH A 023-BLANCO 10,359,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,PRIMAVERA 2025,MANGA CORTA,10,Moda,1,PLAYERA NIÑO 2 TONOS - SF CRAYOLA SKETCH A 023-BLANCO
P00130-03035A-201-64,Store #17,0,,0,0,0,0,0,PLAYERA BÁSICA INFANTIL - SF TODO BIEN CH A 201-AZUL M,209,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,INVIERNO 2024,MANGA CORTA,M,Linea,2,PLAYERA BÁSICA INFANTIL - SF TODO BIEN CH A 201-AZUL
P00130-02990A-211-66,Store #10,0,,0,0,0,0,3,PLAYERA BÁSICA INFANTIL - SF BEISBOLERO 24 CH A 211-ROJO 2X,209,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,INVIERNO 2024,MANGA CORTA,2X,Linea,2,PLAYERA BÁSICA INFANTIL - SF BEISBOLERO 24 CH A 211-ROJO
