sku_id,location_id,crnt_site_qty,crnt_transit_qty,crnt_source_location_site_qty,sales_30_days,sales_60_days,sales_90_days,sku.name,sku.external_id,catalog_cost,catalog_price,brands,category,assortment_group,markets,seasons,styles,size,department_name,product_name,loc.name
439d16a1-a841-5cba-864b-933c5a73353b,eaad50e3-8fab-54c7-86b4-62bdbd1a8952,2.000,0.000,10.000,9.000,14.000,21.000,PLAYERA HOMBRE MOCK TWIST - SF VACATION A 120-AZUL M,P00062-00637A-120-64,114.810,399.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE,INVIERNO 2019,MANGA CORTA,M,Linea,PLAYERA HOMBRE MOCK TWIST - SF VACATION A 120-AZUL,ISLA MUJERES
61c0e307-32a1-5127-b576-bbec1110a96e,7f9a10e5-ce48-5b80-8090-b192cf52640f,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA HOMBRE PREMIUM FIT - PERSONALIZADO BLANCO A 023-BLANCO S,P00151-19993A-023-65,0.000,339.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,INVIERNO 2024,MANGA CORTA,S,Linea,PLAYERA HOMBRE PREMIUM FIT - PERSONALIZADO BLANCO A 023-BLANCO,ALMACEN CANCUN
21947979-ba16-5af3-b05e-c9db9224896a,3b5ae158-07c7-520d-9498-9bf33cbcc0c0,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA HOMBRE ALGODÓN - SF AUTHENTIC SKETCH A 014-AZUL 2X,P73277-02965A-014-66,113.840,399.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,PRIMAVERA 2025,MANGA CORTA,2X,Linea,PLAYERA HOMBRE ALGODÓN - SF AUTHENTIC SKETCH A 014-AZUL,ALMACEN ISLA MUJERES
b0012f06-be7f-5384-aa19-5a1ae2ce4bcb,91f240b5-7847-5c33-b34c-a02ab13d8622,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA HOMBRE GRABADO - SF TIPO CITY EMB A 173-NEGRO XL,P72690-02606A-173-69,187.950,499.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,VERANO 2024,MANGA CORTA,XL,Moda,PLAYERA HOMBRE GRABADO - SF TIPO CITY EMB A 173-NEGRO,ALMACEN ACAPULCO
57d9acda-8893-5a44-a1e8-4a8080472aed,d6fecbed-b5df-55cd-8f93-a98667ac9d3b,0.000,0.000,0.000,0.000,0.000,0.000,PLAY H MANGA LARGA - SF MOTORCYCLE TATTOO A 173-NEGRO S,P10031-02199A-173-65,0.000,399.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE,VERANO 2023,MANGA LARGA,S,Linea,PLAY H MANGA LARGA - SF MOTORCYCLE TATTOO A 173-NEGRO,PV4
d3d1d654-0b22-5e8c-ade2-1497a1ef4ef5,555e0aee-09bd-5836-a45d-0c18ba1ffdfc,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA BÁSICA ALGODÓN - SF BASEBALL TRIO A 173-NEGRO L,P00122-00788A-173-63,0.000,309.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,INVIERNO 2021,MANGA CORTA,L,Linea,PLAYERA BÁSICA ALGODÓN - SF BASEBALL TRIO A 173-NEGRO,CABOS
443f2ad6-48bc-520f-94b3-b168404b30bf,30926152-fa7a-5485-8639-fa222de0d3f1,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA HOMBRE PREMIUM - SF SURF AND DRINKS A 023-BLANCO S,P00125-02565A-023-65,0.000,399.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,INVIERNO 2023,MANGA CORTA,S,Linea,PLAYERA HOMBRE PREMIUM - SF SURF AND DRINKS A 023-BLANCO,M06
184aa1e3-3123-5fec-8809-ce675fe68e64,9e6158f0-778f-5cae-8b6c-05449b191eca,0.000,0.000,0.000,0.000,0.000,0.000,PLAY CAB RANGLAN - SF CAR PLATES A 173-NEGRO L,P91162-02705A-173-63,146.240,459.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,VERANO 2024,MANGA CORTA,L,Moda,PLAY CAB RANGLAN - SF CAR PLATES A 173-NEGRO,PUNTA LANGOSTA
72c5314f-3012-5be5-b22b-2ef947e1cf4b,75e41a2b-2226-5eb4-ba7d-b4a584e9d901,0.000,0.000,,0.000,0.000,0.000,PLAY ADOL H HORIZ - SF TIPO TROPI DAYS A 241-VINO XL,P00106-01172A-241-69,0.000,379.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,PRIMAVERA 2022,MANGA CORTA,XL,Moda,PLAY ADOL H HORIZ - SF TIPO TROPI DAYS A 241-VINO,ALMACEN CEDIS
b0012f06-be7f-5384-aa19-5a1ae2ce4bcb,0754002b-418b-598b-bb00-bfb5b5c67fec,0.000,0.000,0.000,16.000,20.000,20.000,PLAYERA HOMBRE GRABADO - SF TIPO CITY EMB A 173-NEGRO XL,P72690-02606A-173-69,187.950,499.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,VERANO 2024,MANGA CORTA,XL,Moda,PLAYERA HOMBRE GRABADO - SF TIPO CITY EMB A 173-NEGRO,M02
